Data,Resource Name,Job Function,Department,OP Unit,BU/LOB,Contract Rate,Pay Rate,Pay Rate Currency,Task,EAC QTY,Expense Type,Budget Cost,Budget Billings,Existing_Rate_ETC_QTY,RE Type,ETC Cost,ETC Billings,CM%,QTY Variance,Cost Variance,Billings Variance,LAB QTY,LAB Cost,LAB Billings
Contract Rate Card Exceptions1,"Colgan, Justin",,,,,200,,,,25,,,,,,,,,,,,,,
Contract Rate Card Exceptions7,"Colgan, Justin",,,,,500,,,,25,,,,,,,,,,,,,,
Contract Rate Card Exceptions2,"Shaikh, Samina",,,,,240,,,,40,,,,,,,,,,,,,,
Contract Rate Card Exceptions3,"Wallinger,Ann",,,,,420,34,USD,,35,,,,,,,,,,,,,,
Contract Rate Card Exceptions8,"Coan,Steve",,,,,600,220,USD,,89,,,,,,,,,,,,,,
Contract Rate Card Exceptions4,"Abbas,Omar",,,,,330,56,,,70,,,,,,,,,,,,,,
Contract Rate Card Exceptions5,"Aarons,Kimmy",,,,,400,230,,,80,,,,,,,,,,,,,,
Contract Rate Card Exceptions6,"qa, qasamsha05IC1",,,,,600,220,USD,,99,,,,,,,,,,,,,,
Contract Rate Card Exceptions9,"qa, qasamsha05PG1",,,,,400,110,USD,,99,,,,,,,,,,,,,,
RE Contract Rate Card Exception 1,"Colgan, Justin",,,,,400,,,,150,,,,50,EDIT,,,,,,,,,
RE Contract Rate Card Exception 2,"Shaikh, Samina",,,,,240,,,,110,,,,50,EDIT,,,,,,,,,
RE Contract Rate Card Exception 4,"A Guerra,Marco",,,,,400,100,,,80,,,,45,EDIT,,,,,,,,,
RE Contract Rate Card Exception 5,"Wallinger,Ann",,,,,340,40,USD,,60,,,,10,EDIT,,,,,,,,,
RE Contract Rate Card Exception 6,"Aarestad, Luke",,,,,400,,,,60,,,,,NEW,,,,,,,,,
RE Contract Rate Card Exception 7,"Abbireddy,Shoban",,,,,300,220,USD,,88,,,,,NEW,,,,,,,,,
RE Contract Rate Card Exception 8,"Abel,Edwin",,,,,480,200,,,90,,,,,NEW,,,,,,,,,
RE Contract Rate Card Exception 9,"Coan,Steve",,,,,600,220,USD,,99,,,,55,EDIT,,,,,,,,,
RE Contract Rate Card Exception 3,"Abbas,Omar",,,,,530,56,,,99,,,,80,EDIT,,,,,,,,,
RE Contract Rate Card Exception 10,"Aarons,Kimmy",,,,,400,250,,,99,,,,101,EDIT,,,,,,,,,
RE Contract Rate Card Exception 11,"qa, qasamsha05IC1",,,,,450,220,USD,,149,,,,101,EDIT,,,,,,,,,
MF/IBU Contract Rate card Exceptions1,MF - Brazil,MAN - Manager,,,,400,230,USD,,40,,,,,,,,,,,,,,
MF/IBU Contract Rate card Exceptions3,MF - Argentina,MAN - Manager,,,,350,230,USD,,110,,,,,,,,,,,,,,
MF/IBU Contract Rate card Exceptions2,IBU - Singapore,SMR - Senior Manager,,,,300,230,SGD,,50,,,,,,,,,,,,,,
